alpha,beta,mu_lat,var_lat,c,d,k_1,k_2,stb_1,stb_2,mu_1,mu_2,p_ber
0.00154135,1.15428,2.84103,3.69066,3.20106,2,0.49602,10,1,1,6.28326e-05,5.46927e-06,0.0375098
0.00132824,1.15428,2.99871,3.9799,3.20106,2,0.389671,10,1,1,6.28326e-05,6.79988e-06,0.0375098
0.00132824,0.811364,2.99871,4.0731,2.21095,2,0.381486,10,1,1,6.28326e-05,6.79988e-06,0.0375098
0.00163332,0.811364,2.99871,4.42238,2.21095,2,0.329819,10,1,1,5.36191e-05,6.79988e-06,0.0375098
0.00173556,0.811364,2.99871,4.16956,2.5652,2,0.34467,10,1,1,5.36191e-05,6.79988e-06,0.0375098
0.00136116,0.811364,2.23329,4.16956,2.5652,2,0.393692,10,1,1,5.68157e-05,6.79988e-06,0.0375098
0.00136116,0.811364,2.23329,4.14494,3.2001,2,0.420997,10,1,1,5.68157e-05,6.26725e-06,0.0375098
0.00201418,0.811364,3.37789,3.90191,2.66911,2,0.420997,10,1,1,5.68157e-05,6.26725e-06,0.0375098
0.00211932,0.811364,3.37789,3.6143,1.96292,2,0.420997,10,1,1,6.83141e-05,6.26725e-06,0.0375098
0.00160069,0.811364,3.05356,3.94905,2.11523,2,0.459311,10,1,1,6.83141e-05,6.26725e-06,0.0375098
0.00131847,1.26186,3.05356,3.66893,2.02662,2,0.459311,10,1,1,4.89473e-05,6.26725e-06,0.0375098
0.000267008,1.26186,3.13779,3.67082,2.02662,2,0.358299,10,1,1,4.89473e-05,6.33608e-06,0.0375098
0.000267008,1.26186,2.63725,3.69592,2.7719,2,0.411511,10,1,1,4.89473e-05,6.33608e-06,0.0375098
0.00032256,0.956251,2.63725,3.82732,3.87743,2,0.440727,10,1,1,5.18115e-05,6.33608e-06,0.0375098
0.000485559,1.26947,2.63725,3.69471,3.42902,2,0.398377,10,1,1,5.18115e-05,6.33608e-06,0.0392951
0.00136648,1.26947,2.63725,3.43526,4.55777,2,0.318806,10,1,1,5.18115e-05,6.33608e-06,0.0392951
0.000946447,1.26947,2.63725,3.43526,4.12802,2,0.353798,10,1,1,6.15759e-05,8.3408e-06,0.0392951
0.000205018,1.26947,3.34848,3.50475,2.94754,2,0.398866,10,1,1,6.15759e-05,8.3408e-06,0.0416296
0.000205018,0.951912,3.34848,3.76098,2.31786,2,0.437671,10,1,1,6.15759e-05,8.3408e-06,0.0416296
0.000728908,0.951912,3.34848,3.8958,2.68875,2,0.443823,10,1,1,6.15759e-05,9.30375e-06,0.0416296
0.000321763,0.951912,3.34848,3.9605,3.2211,2,0.443823,10,1,1,6.15759e-05,9.30375e-06,0.0416296
0.000639501,0.951912,3.34848,4.11482,3.2211,2,0.417635,10,1,1,6.15759e-05,9.30375e-06,0.0454946
0.000639501,0.951912,2.28214,4.25941,2.75789,2,0.417635,10,1,1,6.15759e-05,5.40738e-06,0.0448593
0.0011375,0.951912,2.28214,4.37411,2.75789,2,0.451977,10,1,1,6.15759e-05,5.40738e-06,0.0448593
0.00245775,0.750384,2.28214,4.21876,2.55492,2,0.491704,10,1,1,6.15759e-05,5.40738e-06,0.0398549
0.00249837,0.750384,2.36892,4.21876,2.76273,2,0.491704,10,1,1,5.68257e-05,5.83533e-06,0.0398549
0.00169163,0.939132,2.36892,4.05404,2.76273,2,0.538009,10,1,1,5.68257e-05,5.83533e-06,0.0398549
0.00300228,0.939132,2.62338,4.11806,2.76273,2,0.538009,10,1,1,5.68257e-05,1.06909e-05,0.0481959
0.0028475,0.939132,3.00623,4.30758,2.31245,2,0.572621,10,1,1,5.68257e-05,7.07501e-06,0.0481959
